<Animal: void <init>()>	void()
<Cat: Cat getParent()>	Cat()
<Cat: void <init>()>	void()
<Pointer: void main(java.lang.String[])>	void(java.lang.String[])
<Cat: void play()>	void()
<Pointer: void test(int)>	void(int)
<Dog: void <init>()>	void()
<Animal: void play()>	void()
<Pointer: void morePlay(Cat)>	void(Cat)
<Animal: Animal playWith(Animal)>	Animal(Animal)
<Cat: void setParent(Cat)>	void(Cat)
<Dog: void play()>	void()
<Pointer: void <init>()>	void()
<Pointer: void sanitize(java.lang.Object)>	void(java.lang.Object)
